="";="(1)";="(2)"
="Age > 55";="0.497***";="0.497***"
="";="(0.039)";="(0.039)"
="Bandwidth";="10.25";="10.24"
="Mean (age < 0)";="6.59";="7.28"
="Mean (age > 0)";="6.97";="7.66"
="Observations";="9,357";="9,357"
="* p<0.10, ** p<0.05, *** p<0.01"
