="";="(1)";="(2)";="(3)";="(4)"
="Pensions";="0.330";="-0.277";="-0.254";="-0.063"
="";="(0.525)";="(0.526)";="(0.490)";="(0.239)"
="Bandwidth";="10.25";="7.86";="9.36";="8.25"
="Mean (age < 0)";="1.93";="3.93";="3.79";="0.32"
="Mean (age > 0)";="1.77";="3.90";="3.80";="0.30"
="Observations";="9,357";="9,357";="9,357";="9,357"
="* p<0.10, ** p<0.05, *** p<0.01"
