="";="(1)";="(2)";="(3)";="(4)"
="Pensions";="-0.044";="0.983";="0.040";="-0.014"
="";="(0.351)";="(1.099)";="(0.132)";="(0.113)"
="Bandwidth";="10.13";="6.43";="7.91";="9.12"
="Mean (age < 0)";="3.43";="5.29";="0.63";="0.80"
="Mean (age > 0)";="2.95";="4.62";="0.62";="0.73"
="Observations";="9,357";="9,357";="9,348";="9,357"
="* p<0.10, ** p<0.05, *** p<0.01"
