="";="(1)";="(2)";="(3)";="(4)"
="Pensions";="0.007";="-0.025";="0.014";="0.023"
="";="(0.127)";="(0.109)";="(0.097)";="(0.078)"
="Bandwidth";="9.28";="9.73";="8.36";="7.91"
="Mean (age < 0)";="0.51";="0.27";="0.14";="0.08"
="Mean (age > 0)";="0.58";="0.26";="0.11";="0.06"
="Observations";="9,357";="9,357";="9,357";="9,357"
="* p<0.10, ** p<0.05, *** p<0.01"
