="";="(1)";="(2)";="(3)";="(4)"
="Pensions";="0.002";="0.068";="-0.032";="-0.267"
="";="(0.280)";="(0.398)";="(0.587)";="(0.528)"
="Bandwidth";="10.08";="9.32";="8.04";="8.90"
="Mean (age < 0)";="0.46";="4.41";="2.96";="3.22"
="Mean (age > 0)";="0.56";="4.42";="2.99";="3.17"
="Observations";="9,357";="9,357";="9,357";="9,357"
="* p<0.10, ** p<0.05, *** p<0.01"
