="";="(1)";="(2)";="(3)";="(4)";="(5)";="(6)"
="Pensions";="4.409***";="6.508***";="0.305";="0.236";="-1.081";="-0.443"
="";="(0.678)";="(0.330)";="(0.304)";="(0.232)";="(0.742)";="(0.324)"
="Bandwidth";="7.02";="10.20";="8.66";="9.17";="6.30";="6.35"
="Mean (age < 0)";="2.52";="0.53";="0.08";="0.00";="1.82";="0.15"
="Mean (age > 0)";="5.29";="4.90";="0.32";="0.04";="0.60";="0.19"
="Observations";="9,357";="9,357";="9,357";="9,357";="9,357";="9,357"
="* p<0.10, ** p<0.05, *** p<0.01"
="Pensions";="0.488***";="0.956***";="0.069";="0.034";="-0.247";="-0.074"
="";="(0.119)";="(0.046)";="(0.053)";="(0.025)";="(0.140)";="(0.057)"
="Bandwidth";="6.20";="10.01";="9.74";="6.47";="5.89";="6.53"
="Mean (age < 0)";="0.45";="0.08";="0.01";="0.00";="0.31";="0.03"
="Mean (age > 0)";="0.76";="0.71";="0.05";="0.01";="0.12";="0.03"
="Observations";="9,357";="9,357";="9,357";="9,357";="9,357";="9,357"
="* p<0.10, ** p<0.05, *** p<0.01"
