="";="(1)";="(2)";="(3)";="(4)";="(5)"
="Pensions";="-0.068";="0.120";="-0.013";="-0.006";="0.065"
="";="(0.310)";="(0.225)";="(0.245)";="(0.243)";="(0.197)"
="Bandwidth (age < 55)";="9.32";="8.79";="6.18";="6.23";="8.13"
="Bandwidth (age > 55)";="9.32";="6.96";="6.18";="6.23";="8.13"
="Mean (age < 55)";="5.57";="5.57";="5.58";="5.58";="5.57"
="Mean (age > 55)";="5.57";="5.60";="5.60";="5.60";="5.58"
="Observations";="9,357";="9,357";="9,357";="9,357";="9,348"
="* p<0.10, ** p<0.05, *** p<0.01"
