="";="(1)";="(2)"
="Pensions";="-0.001";="1.647***"
="";="(0.382)";="(0.521)"
="Bandwidth";="7.42";="8.77"
="Mean (age < 0)";="0.30";="0.93"
="Mean (age > 0)";="0.37";="1.69"
="Observations";="9,357";="9,357"
="* p<0.10, ** p<0.05, *** p<0.01"
="Pensions";="0.001";="0.336***"
="";="(0.074)";="(0.126)"
="Bandwidth";="7.23";="7.96"
="Mean (age < 0)";="0.06";="0.22"
="Mean (age > 0)";="0.07";="0.39"
="Observations";="9,357";="9,357"
="* p<0.10, ** p<0.05, *** p<0.01"
